pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
6.1628811690138665 - 2.9366413078444266e-18im,NaN + NaN*im,6.855887234438955 + 0.07655056185967461im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189496052995273 + 6.749507857579767e-13im,6.8020711625102965 + 0.13622104673931684im,NaN + NaN*im,NaN + NaN*im
6.177188839868825 + 2.25310017634091e-11im,NaN + NaN*im,6.869056947654669 + 0.10034659556516244im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1885026395904035 - 1.331070541287236e-10im,7.056858600921633 + 0.258809603366744im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189978924040269 + 2.090667772834633e-12im,6.887886421946579 + 0.2514649113684619im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1902622318311415 + 5.467074899238111e-12im,6.788050701014987 + 0.15874170783527167im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188922030289376 + 8.587067983692503e-12im,7.024696734390962 + 0.27343767830506616im,NaN + NaN*im,NaN + NaN*im
6.184199871388775 - 3.171985795805396e-14im,NaN + NaN*im,6.8907362668752805 + 0.14863592881693405im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189837901556709 - 3.461023196097985e-12im,6.795895824916326 + 0.14672601375879327im,NaN + NaN*im,NaN + NaN*im
6.182540874734023 + 1.0839154094812115e-14im,NaN + NaN*im,6.895431582446859 + 0.13969548760886188im,NaN + NaN*im,NaN + NaN*im
6.1828715706906445 - 2.4244987783736235e-14im,NaN + NaN*im,6.894455453608346 + 0.1415547629173633im,NaN + NaN*im,NaN + NaN*im
6.167997629334772 - 9.985200439219674e-18im,NaN + NaN*im,6.8681039920785025 + 0.08717092415037628im,NaN + NaN*im,NaN + NaN*im
6.1855546312742025 - 5.618421689566673e-15im,NaN + NaN*im,6.886922280039033 + 0.15635491713977673im,NaN + NaN*im,NaN + NaN*im
6.166829373204469 - 9.301474761771998e-18im,NaN + NaN*im,6.86513237272265 + 0.08453956261234666im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1887957160334715 - 1.4078588117058727e-11im,6.895617114201098 + 0.17936027639594104im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.185187051284673 - 3.857858184124735e-14im,6.870697531083495 + 0.12133887898105578im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186959121386286 - 1.8938614111822336e-16im,6.8723333624614575 + 0.16919488777255784im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187704211705884 + 9.856885514942973e-17im,6.881648427975422 + 0.17280903928617386im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.183450271452545 - 1.2250500746787744e-13im,6.848874680687603 + 0.11784147911955874im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190616513239636 - 5.3598512692769936e-11im,6.909707840700331 + 0.17631009326689873im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1898698617486945 - 2.936288138304102e-12im,6.861191932898229 + 0.2411565063729989im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191532906726561 - 1.8788398905435323e-14im,6.906241674394224 + 0.18958139072152358im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1883913492741645 - 1.8042598380954996e-10im,6.892484276113214 + 0.17287209586037694im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189449704782583 + 3.5667722998310434e-12im,6.906326385559553 + 0.15720272304287694im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190225710596189 + 7.858262515438991e-12im,6.889776856233191 + 0.22113409412480467im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1887964732127125 - 1.3682976619353717e-11im,6.899523077500943 + 0.14683578019235283im,NaN + NaN*im,NaN + NaN*im
6.163752049187705 - 2.6011108365626538e-17im,NaN + NaN*im,6.84101719654795 + 0.0823684138278851im,NaN + NaN*im,NaN + NaN*im
6.1733747027753125 + 1.4612962163340187e-10im,NaN + NaN*im,6.858532058279597 + 0.08841256520604181im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186984455754243 - 1.5390875621244647e-16im,6.866392306758863 + 0.1763213678354731im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191730990041465 - 1.529251598273688e-13im,6.897676558761387 + 0.23152743158191752im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.183839747947249 - 1.3051765533992623e-13im,6.854562080675724 + 0.11891911210360016im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189049824540074 + 1.8345364387275448e-11im,6.862158222474774 + 0.22575675620284935im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.185625175355391 - 1.8201088774011104e-14im,6.866849940091748 + 0.1360433058234165im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.183763382051787 - 1.3117049333146783e-13im,6.844629768605347 + 0.1296205363594168im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189683287570219 - 5.814548178832641e-12im,6.879980372375645 + 0.22062230114509443im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184066198062297 - 1.1926019103302748e-13im,6.846153151614887 + 0.13492101341866744im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.186058677253935 - 7.0701020933812226e-15im,6.8733379288504555 + 0.13271878440869286im,NaN + NaN*im,NaN + NaN*im
6.1693708087420545 - 1.817962402524077e-17im,NaN + NaN*im,6.859759371306122 + 0.08537400302504755im,NaN + NaN*im,NaN + NaN*im
6.163443916743632 + 2.4336445646746594e-17im,NaN + NaN*im,6.8528828599033575 + 0.07733914092113582im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191541316149172 - 2.0161618796238217e-14im,6.89933613280002 + 0.17647030933770436im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.19153652629796 - 1.9366115278655506e-14im,6.903814843316992 + 0.1832521684024422im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.185713764089501 - 1.5342984940062525e-14im,6.849155353682295 + 0.16814781017202884im,NaN + NaN*im,NaN + NaN*im
6.175577356283702 + 5.557118431848822e-11im,NaN + NaN*im,6.862444665432932 + 0.09238976534261988im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1844928093594 - 8.753747173150325e-14im,6.857578157955893 + 0.12188390841262024im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184429654561266 - 9.554802515577128e-14im,6.869861536693065 + 0.11694210436557466im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187403592159722 + 1.5544111584522404e-16im,6.884635328504369 + 0.1615849479524424im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191707872487717 - 1.187356173844953e-13im,6.904019850242946 + 0.2124074097720313im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.185572010472619 - 2.0119493730188893e-14im,6.870983988961827 + 0.1240009428454514im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188232962240807 + 3.0777758152159286e-17im,6.896978488236682 + 0.1518689116503012im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187081991667629 - 1.94462098809702e-17im,6.878034993907567 + 0.16468913789380957im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190503974609609 - 2.8473965623013193e-11im,6.908619502424221 + 0.19614811762736653im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189922345881795 - 6.763882631778518e-13im,6.879931888135491 + 0.22798956270566842im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.19198979856899 - 1.3870038515469136e-12im,6.893004981542891 + 0.2397144300689273im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.185512946188533 - 2.242934990390363e-14im,6.8620218155623895 + 0.14238120638409602im,NaN + NaN*im,NaN + NaN*im
