pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
6.1693500352408615 + 6.350974352956975e-18im,NaN + NaN*im,6.922139437711486 + 0.10450789504916491im,NaN + NaN*im,NaN + NaN*im
6.1638637544424295 + 2.2422294908583306e-17im,NaN + NaN*im,6.9138322474825005 + 0.09424484851541219im,NaN + NaN*im,NaN + NaN*im
6.160262181503048 + 1.3568829645171307e-17im,NaN + NaN*im,6.91385052479338 + 0.08968118979874481im,NaN + NaN*im,NaN + NaN*im
6.157283538748707 + 8.906615712312563e-17im,NaN + NaN*im,6.916972136967215 + 0.0865432037656225im,NaN + NaN*im,NaN + NaN*im
6.15459610198207 + 1.4140692607135656e-16im,NaN + NaN*im,6.921658333945221 + 0.08411732495150698im,NaN + NaN*im,NaN + NaN*im
6.152088969983535 + 3.446458328872622e-16im,NaN + NaN*im,6.927431327165182 + 0.08208845433529786im,NaN + NaN*im,NaN + NaN*im
6.149807938363903 + 5.44841363558573e-16im,NaN + NaN*im,6.934858321044493 + 0.08089367245664071im,NaN + NaN*im,NaN + NaN*im
6.145251577635647 + 1.2786126451437194e-15im,NaN + NaN*im,6.954740324189613 + 0.07957778507003374im,NaN + NaN*im,NaN + NaN*im
6.140932006544406 + 2.4102453175570675e-15im,NaN + NaN*im,6.981905399482318 + 0.0822180840845765im,NaN + NaN*im,NaN + NaN*im
6.136806990862252 + 3.81666915631832e-15im,NaN + NaN*im,7.018264910232512 + 0.09262675169831695im,NaN + NaN*im,NaN + NaN*im
6.133204899859646 + 5.080090272170478e-15im,NaN + NaN*im,7.066759431933883 + 0.11851616672025811im,NaN + NaN*im,NaN + NaN*im
6.130828863431047 + 5.149084096809436e-15im,NaN + NaN*im,7.1262789046104 + 0.17353149435927048im,NaN + NaN*im,NaN + NaN*im
6.131782778901112 + 3.2552297222458782e-15im,NaN + NaN*im,7.181858476231489 + 0.2702081455387432im,NaN + NaN*im,NaN + NaN*im
6.135673469802749 + 1.49122165706964e-15im,NaN + NaN*im,7.201264896563625 + 0.3532862535347891im,NaN + NaN*im,NaN + NaN*im
6.142652860582049 + 4.366136213123963e-16im,NaN + NaN*im,7.197575698150777 + 0.43826088252245043im,NaN + NaN*im,NaN + NaN*im
6.152996623614463 + 8.685125033847812e-17im,NaN + NaN*im,7.232263089531069 + 0.31297812500951344im,NaN + NaN*im,NaN + NaN*im
6.160270918911564 - 2.101116945132092e-17im,NaN + NaN*im,7.020238498576888 + 0.2643385715966035im,NaN + NaN*im,NaN + NaN*im
6.162992851194516 - 1.3460159205787459e-17im,NaN + NaN*im,7.001662145583645 + 0.24129361643004732im,NaN + NaN*im,NaN + NaN*im
6.165583023491705 + 3.551470925956924e-17im,NaN + NaN*im,6.981597305432691 + 0.21600266409604227im,NaN + NaN*im,NaN + NaN*im
6.16897518860823 + 3.7759031711584776e-10im,NaN + NaN*im,6.952178066569267 + 0.180467048531292im,NaN + NaN*im,NaN + NaN*im
6.16944088691168 - 3.021162736572429e-17im,NaN + NaN*im,6.921809257080514 + 0.10484858273031035im,NaN + NaN*im,NaN + NaN*im
6.161316590425301 + 6.877472848293022e-18im,NaN + NaN*im,7.090348934250195 + 0.15086562483178412im,NaN + NaN*im,NaN + NaN*im
6.152387305289228 + 6.153497906407011e-17im,NaN + NaN*im,7.2314833979727835 + 0.31017216917348545im,NaN + NaN*im,NaN + NaN*im
6.1316665237642916 + 4.532602499751997e-15im,NaN + NaN*im,7.150040309627179 + 0.18887353860444855im,NaN + NaN*im,NaN + NaN*im
6.132267986739852 + 2.6662715343671817e-15im,NaN + NaN*im,7.184997251416235 + 0.3026683543964479im,NaN + NaN*im,NaN + NaN*im
6.170060242785101 + 2.147638644927244e-10im,NaN + NaN*im,7.054771208319598 + 0.3230634057265511im,NaN + NaN*im,NaN + NaN*im
6.178930909470578 + 5.173942179441487e-12im,NaN + NaN*im,6.9826586561608766 + 0.16747088326750859im,NaN + NaN*im,NaN + NaN*im
