pole_rs1,pole_rs2_low,pole_rs2_high,pole_rs3
NaN + NaN*im,6.195042998033287 + 0.009420172104781679im,6.506913345476665 - 0.3146271693665549im,6.803509593463627 + 0.1435641860896314im
NaN + NaN*im,6.200662979806787 + 0.011831995423373149im,6.511300831948018 - 0.3281843464689915im,6.798828729720395 + 0.14173293819300675im
NaN + NaN*im,6.204351927749498 + 0.012257165128496261im,6.520958621844302 - 0.331321855260871im,6.797717188697973 + 0.14032785519282812im
NaN + NaN*im,6.206440477113577 + 0.012105413928746589im,6.531047153351787 - 0.3271221044576136im,6.799200985137768 + 0.13968171467789456im
NaN + NaN*im,6.2076947765742 + 0.011846901292475903im,6.539893232047685 - 0.3188858703980141im,6.802222966354506 + 0.13931130676260683im
NaN + NaN*im,6.208778535812176 + 0.011472174420568727im,6.551490482193046 - 0.3012246104157378im,6.8090776997881814 + 0.138889097901493im
NaN + NaN*im,6.209001023059206 + 0.011248508147209846im,6.558640286118649 - 0.2812133798421928im,6.817199408236559 + 0.13800442311282407im
NaN + NaN*im,6.208852688509813 + 0.01120268124195617im,6.56116939803608 - 0.27108961237523116im,6.821396070410553 + 0.13751934493605286im
NaN + NaN*im,6.20846163339436 + 0.011199105548573304im,6.56263064964209 - 0.26081645131311476im,6.8256477101835324 + 0.13688655439496691im
NaN + NaN*im,6.207706249969451 + 0.011243682540505118im,6.563148109870812 - 0.2505922927138262im,6.829825933256386 + 0.1362740679986223im
NaN + NaN*im,6.2062086018624445 + 0.01130044732123196im,6.561932739010826 - 0.24114291660462542im,6.833614936168751 + 0.1358430630847674im
NaN + NaN*im,6.204370495247265 + 0.011240570016354924im,6.559492601870817 - 0.23653391916972727im,6.835378520763701 + 0.13596645414209038im
NaN + NaN*im,6.202316241837439 + 0.010978331801533838im,6.556315949079797 - 0.23491340536716143im,6.835856799440122 + 0.1363897438181477im
NaN + NaN*im,6.197847098174778 + 0.009591265293023546im,6.549824246560892 - 0.23625107618884597im,6.835026531789102 + 0.13778697498155917im
NaN + NaN*im,6.19186849014254 + 0.005026769566953145im,6.543283784381962 - 0.2399944819724962im,6.833016312023003 + 0.13964535848642645im
6.191541255711488 - 5.097235894162907e-13im,6.162463043743546 + 9.504680437672203e-11im,6.536768894825918 - 0.2445396234976657im,6.830487756078666 + 0.14348294247582707im
6.1906333884945095 - 1.9794139840298956e-15im,6.1564879698640995 + 1.1968785420938748e-11im,6.5284852509872895 - 0.25420079641046983im,6.826132053493516 + 0.1453960644207298im
6.190715416820984 + 4.639256639243452e-16im,6.155007802270757 + 5.988259216979666e-12im,6.519645073321119 - 0.26833756180899443im,6.8201716795327885 + 0.14692048464530622im
6.193795450110556 - 1.7386332337288097e-11im,6.173822900164961 + 1.4409201440955977e-14im,6.173822900165021 + 1.59951010934352e-13im,6.81241087319583 + 0.14564561476684149im
NaN + NaN*im,6.190234651182664 + 0.004231686817053585im,6.5078094287587 - 0.30183352051361295im,6.807962795291271 + 0.1446060486454612im
NaN + NaN*im,6.19502601920921 + 0.009404227114005395im,6.506920863454905 - 0.3146481861493652im,6.803471981458904 + 0.14356483196184128im
NaN + NaN*im,6.1914165174618905 + 0.006000815054439975im,6.19141651746625 + 0.006000815053565184im,6.809524470787218 + 0.1420609130157787im
6.190894836456095 + 6.28037910239048e-12im,6.15685594402879 + 6.766712740114769e-12im,6.508909123955377 - 0.28389097736972974im,6.813571725807122 + 0.14564468188924626im
6.189589872121458 - 1.607134330722908e-15im,6.153216653933876 + 2.434181163871628e-12im,6.511432046717331 - 0.2661779391912919im,6.820139071146945 + 0.1429016500274187im
6.189268379142814 - 1.0664719266323447e-15im,6.153779139901412 + 3.474307571270913e-12im,6.5158539134081 - 0.2538924792217784im,6.824920605484625 + 0.1408606040132267im
6.189274386662501 - 4.343316947001585e-17im,6.1556910211520535 + 7.141873634774605e-12im,6.521368639772113 - 0.24485577130891842im,6.828521184372524 + 0.13941934548700677im
6.189259633735988 + 2.390209221787584e-16im,6.157781885276558 + 1.387551938386031e-11im,6.527914141117983 - 0.23863061763534135im,6.831162426991129 + 0.13866615843150168im
6.189398363051676 + 7.862284897939143e-10im,6.160528287135794 + 2.9907367713322085e-11im,6.536669883690588 - 0.23558705842959066im,6.832629440087476 + 0.13887365878440291im
